Currency,Date,"Exchange Rate"

USD,2024-02-16,312.8934
USD,2024-02-15,313.1705
USD,2024-02-14,313.4241
USD,2024-02-13,313.2487
USD,2024-02-12,313.0338
USD,2024-02-09,313.5869
USD,2024-02-08,313.2212
USD,2024-02-07,314.0343
USD,2024-02-06,312.2364
USD,2024-02-05,311.4132
USD,2024-02-02,314.0218
USD,2024-02-01,316.1275
USD,2024-01-31,317.4089
USD,2024-01-30,317.9432
USD,2024-01-29,317.5185
USD,2024-01-26,319.1591
USD,2024-01-24,319.9412
USD,2024-01-23,320.0536
USD,2024-01-22,320.5246
USD,2024-01-19,320.8826
USD,2024-01-18,321.2243
USD,2024-01-17,321.7534
USD,2024-01-16,322.2038
USD,2024-01-12,322.6884
USD,2024-01-11,322.8300
USD,2024-01-10,322.6356
USD,2024-01-09,322.4136
USD,2024-01-08,322.4406
USD,2024-01-05,322.4275
USD,2024-01-04,322.2375
USD,2024-01-03,321.1200
USD,2024-01-02,323.1861
USD,2024-01-01,323.9902
USD,2023-12-29,323.9233
USD,2023-12-28,324.2268
USD,2023-12-27,325.7409
USD,2023-12-22,326.3519
USD,2023-12-21,326.9669
USD,2023-12-20,326.9605
USD,2023-12-19,326.9249
USD,2023-12-18,326.9856
USD,2023-12-15,326.7231
USD,2023-12-14,326.7793
USD,2023-12-13,327.0966
USD,2023-12-12,327.1808
USD,2023-12-11,326.9314
USD,2023-12-08,326.5900
USD,2023-12-07,327.1342
USD,2023-12-06,328.0175
USD,2023-12-05,328.0314
USD,2023-12-04,327.9839
USD,2023-12-01,327.5552
USD,2023-11-30,329.0423
USD,2023-11-29,329.5090
USD,2023-11-28,329.0036
USD,2023-11-27,328.7498
USD,2023-11-24,328.7214
USD,2023-11-23,328.4842
USD,2023-11-22,328.3919
USD,2023-11-21,328.0918
USD,2023-11-20,327.9164
USD,2023-11-17,328.0732
USD,2023-11-16,328.6449
USD,2023-11-15,327.3643
USD,2023-11-14,326.8940
USD,2023-11-13,327.1930
USD,2023-11-10,328.4610
USD,2023-11-09,328.4100
USD,2023-11-08,327.1236
USD,2023-11-07,327.7360
USD,2023-11-06,328.9773
USD,2023-11-03,329.0615
USD,2023-11-02,328.0343
USD,2023-11-01,327.6173
USD,2023-10-31,327.3817
USD,2023-10-30,327.1300
USD,2023-10-27,326.5000
USD,2023-10-26,326.5647
USD,2023-10-25,327.1063
USD,2023-10-24,325.9017
USD,2023-10-23,325.0000
USD,2023-10-20,324.9747
USD,2023-10-19,324.3800
USD,2023-10-18,324.1357
USD,2023-10-17,323.9143
USD,2023-10-16,323.8600
USD,2023-10-13,323.7977
USD,2023-10-12,323.8480
USD,2023-10-11,323.8082
USD,2023-10-10,323.6026
USD,2023-10-09,323.6117
USD,2023-10-06,323.6946
USD,2023-10-05,323.7722
USD,2023-10-04,323.7654
USD,2023-10-03,323.8000
USD,2023-10-02,323.5166
USD,2023-09-27,324.4478
USD,2023-09-26,324.5999
USD,2023-09-25,324.4375
USD,2023-09-22,324.6121
USD,2023-09-21,324.7013
USD,2023-09-20,324.0000
USD,2023-09-19,323.7088
USD,2023-09-18,323.3750
USD,2023-09-15,323.3731
USD,2023-09-14,323.3778
USD,2023-09-13,322.3823
USD,2023-09-12,322.2833
USD,2023-09-11,321.6556
USD,2023-09-08,322.3871
